# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_a.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=5, update_strategy='replace')
# [ensemble 10] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=10, update_strategy='replace')
# [ensemble 25] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=25, update_strategy='replace')
# [ensemble 50] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=50, update_strategy='replace')
# [ensemble 100] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=100, update_strategy='replace')
# [incremental] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='ensemblesize_sea_a.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 5],current_acc_[ensemble 5],mean_acc_[ensemble 10],current_acc_[ensemble 10],mean_acc_[ensemble 25],current_acc_[ensemble 25],mean_acc_[ensemble 50],current_acc_[ensemble 50],mean_acc_[ensemble 100],current_acc_[ensemble 100],mean_acc_[incremental],current_acc_[incremental],training_time_[ensemble 5],testing_time_[ensemble 5],total_running_time_[ensemble 5],training_time_[ensemble 10],testing_time_[ensemble 10],total_running_time_[ensemble 10],training_time_[ensemble 25],testing_time_[ensemble 25],total_running_time_[ensemble 25],training_time_[ensemble 50],testing_time_[ensemble 50],total_running_time_[ensemble 50],training_time_[ensemble 100],testing_time_[ensemble 100],total_running_time_[ensemble 100],training_time_[incremental],testing_time_[incremental],total_running_time_[incremental]
100044,0.844444,0.844444,0.866667,0.866667,0.866667,0.866667,0.844444,0.844444,0.866667,0.866667,0.844444,0.844444,1.304721,0.027908,1.332629,1.303689,0.037625,1.341314,1.331744,0.078114,1.409858,1.368425,0.152111,1.520536,1.498507,0.292862,1.791370,4.606009,0.006992,4.613001
100045,0.847826,0.847826,0.869565,0.869565,0.869565,0.869565,0.847826,0.847826,0.869565,0.869565,0.847826,0.847826,1.304742,0.028205,1.332947,1.303699,0.038053,1.341752,1.331751,0.079247,1.410998,1.368433,0.155128,1.523561,1.498515,0.298351,1.796866,4.606023,0.007111,4.613133
100046,0.851064,0.851064,0.872340,0.872340,0.872340,0.872340,0.851064,0.851064,0.872340,0.872340,0.851064,0.851064,1.304766,0.028501,1.333267,1.303708,0.038532,1.342240,1.331759,0.080519,1.412278,1.368440,0.157891,1.526331,1.498522,0.304067,1.802589,4.606032,0.007224,4.613256
100047,0.854167,0.854167,0.875000,0.875000,0.875000,0.875000,0.854167,0.854167,0.875000,0.875000,0.854167,0.854167,1.304787,0.028808,1.333595,1.303719,0.038966,1.342685,1.331768,0.081565,1.413333,1.368448,0.159955,1.528404,1.498529,0.310037,1.808566,4.606041,0.007385,4.613426
100048,0.857143,0.857143,0.877551,0.877551,0.877551,0.877551,0.857143,0.857143,0.877551,0.877551,0.857143,0.857143,1.304810,0.029169,1.333979,1.303730,0.039492,1.343222,1.331777,0.082635,1.414412,1.368457,0.162036,1.530492,1.498537,0.317002,1.815539,4.606051,0.007514,4.613565
100049,0.860000,0.860000,0.880000,0.880000,0.880000,0.880000,0.860000,0.860000,0.880000,0.880000,0.860000,0.860000,1.304835,0.029685,1.334520,1.303741,0.040244,1.343985,1.331786,0.083740,1.415526,1.368465,0.164323,1.532787,1.498545,0.321909,1.820454,4.606061,0.007686,4.613747
100050,0.862745,0.862745,0.882353,0.882353,0.882353,0.882353,0.862745,0.862745,0.882353,0.882353,0.862745,0.862745,1.304856,0.030110,1.334966,1.303752,0.040752,1.344504,1.331795,0.085245,1.417039,1.368473,0.166755,1.535228,1.498553,0.326176,1.824728,4.606071,0.007808,4.613879
100051,0.865385,0.865385,0.884615,0.884615,0.884615,0.884615,0.865385,0.865385,0.884615,0.884615,0.865385,0.865385,1.304893,0.030619,1.335512,1.303768,0.041628,1.345396,1.331805,0.086458,1.418263,1.368482,0.169212,1.537694,1.498561,0.330950,1.829510,4.606080,0.007951,4.614031
100052,0.867925,0.867925,0.886792,0.886792,0.886792,0.886792,0.867925,0.867925,0.886792,0.886792,0.867925,0.867925,1.304914,0.031099,1.336013,1.303778,0.042123,1.345901,1.331812,0.088206,1.420017,1.368488,0.171315,1.539804,1.498568,0.335859,1.834426,4.606088,0.008066,4.614155
100053,0.870370,0.870370,0.888889,0.888889,0.888889,0.888889,0.851852,0.851852,0.870370,0.870370,0.851852,0.851852,1.304935,0.031473,1.336409,1.303789,0.043150,1.346939,1.331822,0.089504,1.421325,1.368497,0.174458,1.542955,1.498576,0.340285,1.838861,4.606098,0.008175,4.614273
